id,image_path,label
562,dataset_final/train\VSAV88.png,VSAV88
563,dataset_final/train\VT884BP.png,VT884BP
564,dataset_final/train\VU455CG.png,VU455CG
565,dataset_final/train\VZ390HM.png,VZ390HM
566,dataset_final/train\W0T560.png,W0T560
567,dataset_final/train\W178JZ.jpg,W178JZ
568,dataset_final/train\W304JF.jpg,W304JF
569,dataset_final/train\W31491N.png,W31491N
570,dataset_final/train\W373KE.jpg,W373KE
571,dataset_final/train\W386BX.png,W386BX
572,dataset_final/train\W584RP.png,W584RP
573,dataset_final/train\WOBAV151.JPG,WOBAV151
574,dataset_final/train\WOBNP301.JPG,WOBNP301
575,dataset_final/train\WOBVR142.JPG,WOBVR142
576,dataset_final/train\WW238BB.jpg,WW238BB
577,dataset_final/train\WW291DD.png,WW291DD
578,dataset_final/train\XK15588.png,XK15588
579,dataset_final/train\XNP5042.png,XNP5042
580,dataset_final/train\XTJ842.png,XTJ842
581,dataset_final/train\Y932DGP.png,Y932DGP
582,dataset_final/train\ZDT923.png,ZDT923
583,dataset_final/train\ZE264F0.png,ZE264F0
584,dataset_final/train\ZG56409.png,ZG56409
585,dataset_final/train\ZH818159.png,ZH818159
586,dataset_final/train\ZH86183.png,ZH86183
587,dataset_final/train\ZZ7099.png,ZZ7099
